603,BS,유동화채무,금융부채,,0,3,1,,0,0,0,0,0,0,0,1,0
74,BS,기타유동금융부채,금융부채,,7,3,0,,0,0,0,0,0,0,0,1,0
75,BS,당기법인세부채,기타부채,,6,3,0,,,,,,,,,,
76,BS,유동리스부채,금융부채,,5,3,0,,0,0,0,0,0,0,0,1,0
880,BS,비유동기타채무,기타부채,,0,3,1,,0,0,0,0,0,0,0,1,0
78,BS,기타비유동금융부채,금융부채,,8,3,0,,0,0,0,0,0,0,0,1,0
79,BS,기타비유동부채,기타부채,,6,3,0,,,,,,,,,,
80,BS,비유동리스부채,금융부채,,6,3,0,,0,0,0,0,0,0,0,1,0
81,BS,자본잉여금,기타자본,,0,0,0,,,,,,,,,,
82,BS,자본조정,기타자본,,0,0,0,,,,,,,,,,
83,BS,기타자본,기타자본,,0,0,0,,,,,,,,,,
84,BS,기타포괄손익누계액,기타자본,,0,0,0,,,,,,,,,,
85,BS,자본과부채총계,부채와자본총계,,4,1,0,,,,,,,,,,
86,PL,영업수익,매출액,,0,0,0,,,,,,,,,,
87,PL,영업비용,매출원가,,0,0,0,,,,,,,,,,
88,PL,기타수익,영업외손익,,0,0,0,,0,0,0,0,0,0,,,0
89,PL,기타비용,영업외손익,,0,0,0,,0,0,0,0,0,0,,,0
90,PL,종속기업및관계기업지분법손익,영업외손익,,0,0,0,,1,6,10,0,0,0,,,0
91,PL,매각예정비유동자산처분이익,영업외손익,,0,0,0,,0,0,0,0,0,0,,,0
92,PL,매각예정비유동자산손상차손,영업외손익,,0,0,0,,0,0,0,0,0,10,,,0
93,BS,기타포괄손익공정가치측정금융자산평가이익,기타자본,,0,0,0,,,,,,,,,,
94,BS,부의지분법자본변동,기타자본,,0,0,0,,,,,,,,,,
95,PL,총포괄손익,총포괄손익,,0,0,0,,,,,,,,,,
96,PL,기본주당이익,제거,,0,0,0,,,,,,,,,,
97,PL,희석주당이익,제거,,0,0,0,,,,,,,,,,
98,BS,기타수취채권,금융자산,,0,0,0,,0,0,0,,,,,,0
99,BS,기타장기수취채권,금융자산,,0,0,0,,0,0,0,,,,,,0
100,BS,종속기업및관계기업투자자산,투자주식,,0,0,0,,,,,,,,,,
101,BS,차입금,금융부채,,0,3,1,,0,0,0,0,0,0,0,1,0
102,BS,미지급금및기타채무,금융부채,,0,3,1,,0,0,0,0,0,0,0,1,0
103,BS,장기미지급금및기타채무,금융부채,,0,3,1,,0,0,0,0,0,0,0,1,0
104,BS,이연법인세부채,기타부채,,6,3,0,,,,,,,,,,
105,PL,법인세차감전순이익,세전이익,,0,0,0,,,,,,,,,,
106,BS,확정급여부채의재측정요소,기타포괄손익,,5,0,1,,,,,,,,,,
107,PL,총포괄이익,총포괄손익,,0,0,0,,,,,,,,,,
108,BS,금융기관예치금,현금성자산,,0,0,0,,,,,,,,,,
109,BS,기타자산,기타자산,,0,0,0,,,,,,,,,,
110,BS,매각예정자산,기타자산,,0,0,0,,,,,,,,,,
111,BS,파생금융자산,금융자산,,0,0,0,,0,0,0,,,,,,0
