종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3825","50","1.32","3730","3830","3730","94162","353701550","176988537225","46271513"
"095570","AJ네트웍스","KOSPI",,"5900","-110","-1.83","5980","5980","5850","28229","166216000","276251540500","46822295"
"006840","AK홀딩스","KOSPI",,"27200","-200","-0.73","27250","27250","27100","340","9253950","360333659200","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","18650","-50","-0.27","18700","18700","18500","1802","33610450","380352221650","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","27400","-300","-1.08","27650","27650","27300","11534","316555200","396758219800","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","15850","100","0.63","15500","15900","15500","14000","218770800","239054518400","15082304"
"027410","BGF","KOSPI",,"6370","-30","-0.47","6400","6420","6370","5901","37686630","609715958670","95716791"
"282330","BGF리테일","KOSPI",,"180500","-3000","-1.63","181000","183000","179500","1467","265154000","3119745033000","17283906"
"138930","BNK금융지주","KOSPI",,"7820","10","0.13","7800","7840","7780","46055","359931230","2548813623720","325935246"
"001460","BYC","KOSPI",,"426000","-500","-0.12","424500","426000","424500","3","1275000","266085990000","624615"
"001465","BYC우","KOSPI",,"172500","0","0.00","0","0","0","0","0","36615450000","215385"
"013720","CBI","KOSDAQ","중견기업부","3605","25","0.70","3580","3605","3505","40213","144150195","182765478875","50697775"
"001040","CJ","KOSPI",,"105000","-500","-0.47","105500","105500","104000","9457","989914500","3063584790000","29176998"
"079160","CJ CGV","KOSPI",,"31000","0","0.00","30750","31200","30700","28400","877998750","1149614478000","37084338"
"035760","CJ ENM","KOSDAQ","우량기업부","149200","-2000","-1.32","149700","150200","148800","9765","1459060400","3271829776800","21929154"
"00104K","CJ4우(전환)","KOSPI",,"85700","-1000","-1.15","86800","86800","85700","58","4975500","362212078400","4226512"
"000120","CJ대한통운","KOSPI",,"170500","-1000","-0.58","171500","171500","170000","1737","296773500","3889504652000","22812344"
"011150","CJ씨푸드","KOSPI",,"4220","0","0.00","4190","4225","4170","15760","65928370","151627862060","35930773"
"011155","CJ씨푸드1우","KOSPI",,"39150","0","0.00","0","0","0","0","0","7800000000","200000"
"001045","CJ우","KOSPI",,"62600","-400","-0.63","63100","63100","62500","63","3952900","141489959800","2260223"
"097950","CJ제일제당","KOSPI",,"437500","-500","-0.11","437000","438500","434000","2705","1179065500","6586206375000","15054186"
"097955","CJ제일제당 우","KOSPI",,"201000","1000","0.50","200000","201000","199500","692","138702000","266814033000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","35950","350","0.98","35600","36100","35600","3880","139286050","426783516700","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","4410","25","0.57","4380","4415","4355","84765","370785490","612514796040","138892244"
"023460","CNH","KOSDAQ","벤처기업부","3665","-45","-1.21","3700","3700","3660","12842","47161040","136338000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","KOSDAQ","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","KOSDAQ","벤처기업부","4610","-5","-0.11","4615","4665","4530","42077","193274195","89485309300","19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","1540","25","1.65","1530","1540","1525","51","78495","58418535560","37934114"
"000590","CS홀딩스","KOSPI",,"63200","-900","-1.40","63200","63600","63200","203","12834400","72963262400","1154482"
"012030","DB","KOSPI",,"1110","10","0.91","1095","1110","1090","95698","105341425","223303065630","201173933"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2180","-10","-0.46","2200","2200","2180","701","1528450","13189000000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2200","20","0.92","2210","2210","2185","5","11015","10648000000","4840000"
"016610","DB금융투자","KOSPI",,"6850","-30","-0.44","6880","6890","6840","3198","21992120","290757764650","42446389"
"005830","DB손해보험","KOSPI",,"61100","100","0.16","60900","61500","60800","6586","402271000","4325880000000","70800000"
"000990","DB하이텍","KOSPI",,"60500","-600","-0.98","60500","61000","60500","35336","2144460600","2686114574000","44398588"
"000995","DB하이텍1우","KOSPI",,"112000","-500","-0.44","112000","112000","112000","22","2464000","12579392000","112316"
"139130","DGB금융지주","KOSPI",,"9200","50","0.55","9150","9240","9150","30700","282401280","1556141663600","169145833"
"001530","DI동일","KOSPI",,"351000","-8000","-2.23","351500","363000","350500","9176","3253001500","881239905000","2510655"
"000210","DL","KOSPI",,"71700","-200","-0.28","71800","71900","71400","7177","514714800","1502536882800","20955884"
"001880","DL건설","KOSPI",,"32500","-50","-0.15","32050","32600","32000","6859","221185700","716731730000","22053284"
"000215","DL우","KOSPI",,"43750","-200","-0.46","44400","44400","43750","29","1273150","73767531250","1686115"
"375500","DL이앤씨","KOSPI",,"142000","0","0.00","142000","142500","141000","6446","915820000","2748940796000","19358738"
"37550K","DL이앤씨우","KOSPI",,"77700","400","0.52","77100","77900","77100","60","4650200","164248864500","2113885"
"068790","DMS","KOSDAQ","우량기업부","7640","-20","-0.26","7660","7680","7620","4909","37539240","187738186040","24573061"
"004840","DRB동일","KOSPI",,"6510","-30","-0.46","6490","6520","6480","853","5530550","129744300000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","5620","10","0.18","5600","5680","5550","45850","256957400","156300084860","27811403"
"155660","DSR","KOSPI",,"12550","2300","22.44","10750","12600","10650","5353235","61804951400","200800000000","16000000"
"069730","DSR제강","KOSPI",,"11050","900","8.87","9830","11150","9660","3255348","34438391520","159120000000","14400000"
"017940","E1","KOSPI",,"58000","100","0.17","57700","58000","57300","1318","76075300","397880000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","4040","15","0.37","4020","4040","3990","25996","104396495","338100740080","83688302"
"037370","EG","KOSDAQ","중견기업부","12800","100","0.79","12550","12900","12550","15021","191725600","98015948800","7657496"
