종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3805","-5","-0.13","3820","3875","3760","319109","1215137830","176063106965","46271513"
"095570","AJ네트웍스","KOSPI",,"6220","160","2.64","6060","6330","6060","375080","2329485600","291234674900","46822295"
"006840","AK홀딩스","KOSPI",,"27600","200","0.73","27400","27600","27200","10987","299847300","365632683600","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","19050","-100","-0.52","19300","19300","18750","52242","991354500","388509910050","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","28050","-350","-1.23","28500","28550","28050","95693","2693812900","406170367350","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","16250","-50","-0.31","16450","16450","16100","66480","1078478850","245087440000","15082304"
"027410","BGF","KOSPI",,"6410","20","0.31","6350","6420","6300","151079","960933410","613544630310","95716791"
"282330","BGF리테일","KOSPI",,"179500","0","0.00","178000","179500","177000","8909","1587732000","3102461127000","17283906"
"138930","BNK금융지주","KOSPI",,"7790","-60","-0.76","7800","7850","7720","1007109","7819906120","2539035566340","325935246"
"001460","BYC","KOSPI",,"425500","8000","1.92","418000","457500","405500","2618","1118217500","265773682500","624615"
"001465","BYC우","KOSPI",,"171500","2500","1.48","169000","171500","169000","108","18389500","36938527500","215385"
"013720","CBI","KOSDAQ","중견기업부","3495","-95","-2.65","3585","3590","3445","216408","755009565","177188723625","50697775"
"001040","CJ","KOSPI",,"105500","500","0.48","105000","106500","103500","116228","12200702500","3078173289000","29176998"
"079160","CJ CGV","KOSPI",,"31300","400","1.29","30950","31300","30300","286506","8846160200","1160739779400","37084338"
"035760","CJ ENM","KOSDAQ","우량기업부","152800","-400","-0.26","153600","154300","151600","42006","6408091400","3350774731200","21929154"
"00104K","CJ4우(전환)","KOSPI",,"86600","100","0.12","86400","86700","85400","2465","212698800","366015939200","4226512"
"000120","CJ대한통운","KOSPI",,"171000","-500","-0.29","170000","171500","168500","35919","6094685200","3900910824000","22812344"
"011150","CJ씨푸드","KOSPI",,"4260","-20","-0.47","4275","4315","4250","83594","357124225","153065092980","35930773"
"011155","CJ씨푸드1우","KOSPI",,"39300","250","0.64","39350","39350","39000","58","2276750","7860000000","200000"
"001045","CJ우","KOSPI",,"63300","-200","-0.31","63500","63500","63000","1194","75477500","143072115900","2260223"
"097950","CJ제일제당","KOSPI",,"442500","500","0.11","440000","449500","440000","23842","10558085000","6661477305000","15054186"
"097955","CJ제일제당 우","KOSPI",,"201000","-500","-0.25","200000","202500","200000","2718","546624500","266814033000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","36700","-150","-0.41","36600","37050","36200","36627","1337715900","435687206200","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","4485","-25","-0.55","4485","4545","4470","437414","1964752540","622931714340","138892244"
"023460","CNH","KOSDAQ","벤처기업부","3795","-50","-1.30","3855","3860","3715","187862","707789970","141174000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","KOSDAQ","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","KOSDAQ","벤처기업부","4725","-260","-5.22","4970","4975","4575","1375520","6448410245","91717589250","19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","1530","0","0.00","1560","1560","1500","19089","29211965","58039194420","37934114"
"000590","CS홀딩스","KOSPI",,"64200","-900","-1.38","64600","65200","63800","1375","88414500","74117744400","1154482"
"012030","DB","KOSPI",,"1095","0","0.00","1095","1115","1080","948991","1037535070","220285456635","201173933"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2200","5","0.23","2200","2205","2185","21057","46323925","13310000000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2190","-5","-0.23","2215","2215","2180","13461","29407135","10599600000","4840000"
"016610","DB금융투자","KOSPI",,"6830","-50","-0.73","6890","6890","6800","34183","233378060","289908836870","42446389"
"005830","DB손해보험","KOSPI",,"59500","-900","-1.49","59500","60400","58700","79474","4707323300","4212600000000","70800000"
"000990","DB하이텍","KOSPI",,"60900","-800","-1.30","61800","61800","60100","571719","34701296100","2703874009200","44398588"
"000995","DB하이텍1우","KOSPI",,"114000","0","0.00","113000","115000","113000","190","21657500","12804024000","112316"
"139130","DGB금융지주","KOSPI",,"9190","-10","-0.11","9200","9220","9100","189860","1735421590","1554450205270","169145833"
"001530","DI동일","KOSPI",,"370000","24500","7.09","352500","372500","348500","72336","26374631000","928942350000","2510655"
"000210","DL","KOSPI",,"72100","-300","-0.41","72400","72400","71300","47412","3407277000","1510919236400","20955884"
"001880","DL건설","KOSPI",,"33450","-50","-0.15","33600","33650","33100","26652","888027050","737682349800","22053284"
"000215","DL우","KOSPI",,"44000","400","0.92","43600","44200","43500","1018","44508350","74189060000","1686115"
"375500","DL이앤씨","KOSPI",,"143500","-500","-0.35","144000","144500","141500","84008","12020256500","2777978903000","19358738"
"37550K","DL이앤씨우","KOSPI",,"78000","-900","-1.14","79400","79400","78000","4379","343039700","164883030000","2113885"
"068790","DMS","KOSDAQ","우량기업부","7800","20","0.26","7720","7800","7720","60331","467717010","191669875800","24573061"
"004840","DRB동일","KOSPI",,"6610","50","0.76","6500","6610","6460","31651","206737080","131737300000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","5620","0","0.00","5620","5690","5530","538836","3021013030","156300084860","27811403"
"155660","DSR","KOSPI",,"7900","590","8.07","7400","8070","7310","1754235","13581657990","126400000000","16000000"
