종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"073570","WI","KOSDAQ","중견기업부","2310","-5","-0.22","2320","2330","2240","5356582","12170774160","186890256630","80904873"
"024070","WISCOM","KOSPI",,"4400","-20","-0.45","4415","4440","4295","134740","587818505","67436327200","15326438"
"057030","YBM넷","KOSDAQ","중견기업부","7250","10","0.14","7250","7410","7200","137256","1002992440","118267053250","16312697"
"037270","YG PLUS","KOSPI",,"7230","-150","-2.03","7380","7410","7160","1347329","9792932830","458594634300","63429410"
"040300","YTN","KOSDAQ","중견기업부","3755","-30","-0.79","3885","3885","3745","52239","197154835","157710000000","42000000"
"051390","YW","KOSDAQ","중견기업부","4350","-65","-1.47","4415","4415","4325","34850","152038550","49395850800","11355368"
"052220","iMBC","KOSDAQ","중견기업부","4810","-270","-5.31","5020","5060","4700","797149","3870049065","110630000000","23000000"
"079940","가비아","KOSDAQ","우량기업부","13500","-50","-0.37","13550","13700","13400","60290","814723750","182731734000","13535684"
"078890","가온미디어","KOSDAQ","우량기업부","15650","-250","-1.57","15950","16200","15600","383687","6062842100","248082954900","15851946"
"000500","가온전선","KOSPI",,"30500","-250","-0.81","30650","30850","30400","11391","347770250","126890583500","4160347"
"036620","감성코퍼레이션","KOSDAQ","중견기업부","1640","95","6.15","1520","1650","1515","629552","1012815765","123529551080","75322897"
"000860","강남제비스코","KOSPI",,"28500","-400","-1.38","28450","28850","28350","25508","727534650","185250000000","6500000"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","4380","-65","-1.46","4480","4480","4370","97994","430751030","111960193440","25561688"
"114190","강원","KOSDAQ","관리종목(소속부없음)","2500","0","0.00","0","0","0","0","0","45387277500","18154911"
"035250","강원랜드","KOSPI",,"28350","0","0.00","28250","28550","28050","599583","17003190200","6065213175000","213940500"
"094480","갤럭시아머니트리","KOSDAQ","우량기업부","6340","-240","-3.65","6440","6570","6310","217762","1394154240","248717172920","39229838"
"011420","갤럭시아에스엠","KOSPI",,"2290","-40","-1.72","2320","2330","2270","316682","726849445","63088684760","27549644"
"063080","게임빌","KOSDAQ","우량기업부","34150","-850","-2.43","34950","34950","34050","46009","1583098650","225225806800","6595192"
"039240","경남스틸","KOSDAQ","우량기업부","11350","-50","-0.44","10850","11400","10500","4353834","47682757200","283750000000","25000000"
"053950","경남제약","KOSDAQ","중견기업부","6890","240","3.61","6740","6960","6690","298325","2040540700","138141502850","20049565"
"223310","경남제약헬스케어","KOSDAQ","관리종목(소속부없음)","3320","0","0.00","0","0","0","0","0","44267239920","13333506"
"002100","경농","KOSPI",,"14100","-350","-2.42","14300","14300","14000","70448","995768950","275268307500","19522575"
"009450","경동나비엔","KOSPI",,"68300","-500","-0.73","68700","68800","67500","27059","1843816000","929203059000","13604730"
"267290","경동도시가스","KOSPI",,"22800","250","1.11","22400","23100","22250","15746","358606000","134415256800","5895406"
"012320","경동인베스트","KOSPI",,"37200","150","0.40","37400","37400","36850","2869","106709700","87978855600","2365023"
"011040","경동제약","KOSDAQ","우량기업부","10750","0","0.00","10750","10900","10700","85353","920530850","330764234500","30768766"
"000050","경방","KOSPI",,"13800","150","1.10","13650","13850","13600","9766","134147750","378330726000","27415270"
