종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3820","15","0.39","3820","3855","3775","113327","431826110","176757179660","46271513"
"095570","AJ네트웍스","KOSPI",,"6030","-190","-3.05","6220","6230","6010","2094701","11863819408","282338438850","46822295"
"006840","AK홀딩스","KOSPI",,"27350","-250","-0.91","27600","27600","27100","2802","76492950","362320793350","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","19050","0","0.00","19350","19350","18550","7778","147015500","388509910050","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","27950","-100","-0.36","28100","28100","27600","32821","913568000","404722344650","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","16050","-200","-1.23","16100","16100","15850","34411","549100950","242070979200","15082304"
"027410","BGF","KOSPI",,"6390","-20","-0.31","6420","6420","6310","34507","218908670","611630294490","95716791"
"282330","BGF리테일","KOSPI",,"180000","500","0.28","179500","181000","178000","3647","655200500","3111103080000","17283906"
"138930","BNK금융지주","KOSPI",,"7790","0","0.00","7740","7820","7740","161423","1255648890","2539035566340","325935246"
"001460","BYC","KOSPI",,"427000","1500","0.35","429500","429500","421500","30","12751500","266710605000","624615"
"001465","BYC우","KOSPI",,"171500","0","0.00","172000","172000","171500","19","3261000","36938527500","215385"
"013720","CBI","KOSDAQ","중견기업부","3625","130","3.72","3420","3640","3420","94495","337316945","183779434375","50697775"
"001040","CJ","KOSPI",,"106000","500","0.47","104500","106000","104000","23357","2448947000","3092761788000","29176998"
"079160","CJ CGV","KOSPI",,"31450","150","0.48","31300","31500","30900","88763","2772597700","1166302430100","37084338"
"035760","CJ ENM","KOSDAQ","우량기업부","151900","-900","-0.59","152500","152600","150700","21797","3301208900","3331038492600","21929154"
"00104K","CJ4우(전환)","KOSPI",,"86500","-100","-0.12","86600","86600","85400","1126","96950100","365593288000","4226512"
"000120","CJ대한통운","KOSPI",,"171000","0","0.00","169500","171000","169500","5023","854129000","3900910824000","22812344"
"011150","CJ씨푸드","KOSPI",,"4270","10","0.23","4290","4290","4245","20192","86045140","153424400710","35930773"
"011155","CJ씨푸드1우","KOSPI",,"39050","-250","-0.64","39400","39400","39050","15","587500","7810000000","200000"
"001045","CJ우","KOSPI",,"63100","-200","-0.32","63500","63500","62800","210","13219400","142620071300","2260223"
"097950","CJ제일제당","KOSPI",,"441000","-1500","-0.34","440000","442500","440000","4678","2061577500","6638896026000","15054186"
"097955","CJ제일제당 우","KOSPI",,"200500","-500","-0.25","201000","202000","200000","877","176090000","266150316500","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","36400","-300","-0.82","36550","36850","35950","18452","668408150","432125730400","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","4430","-55","-1.23","4495","4495","4420","240096","1065953405","615292640920","138892244"
"023460","CNH","KOSDAQ","벤처기업부","3730","-65","-1.71","3795","3810","3695","47093","175669855","138756000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","KOSDAQ","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
