"id","process","process_detail","realcoa"
36,자금,,현금성자산
37,자금,,금융자산
38,재고,,재고자산
39,재무보고,,기타자산
40,재무보고,,투자주식
41,고정자산,,유형자산
42,고정자산,,무형자산
43,자금,,금융부채
44,재무보고,,충당부채
45,재무보고,,기타부채
46,재무보고,,자본금
47,재무보고,,기타자본
48,재무보고,,이익잉여금
49,매출,,매출액
50,재고,,매출원가
51,구매,,판관비
52,자금,,금융손익
53,재무보고,,영업외손익
54,재무보고,,당기순이익
55,재무보고,,총포괄손익
56,재무보고,,기타포괄손익
57,구매,,기타판관비
58,재무보고,,중단영업손익
