detailname,bspl,resultname,middlecategory,largecategory
항공기-금융리스,BS,유형자산,일반,투자
항공기-감가상각누계액,BS,감가상각누계액,차감,주계정
항공기-감가상각누계액-금융리스,BS,감가상각누계액,차감,주계정
항공기-손상차손누계액,BS,손상차손누계액,차감,주계정
동물,BS,유형자산,일반,투자
식물,BS,유형자산,일반,투자
임차자산개량권,BS,유형자산,일반,투자
전산장비,BS,유형자산,일반,투자
전산장비-금융리스,BS,유형자산,일반,투자
경보기기,BS,유형자산,일반,투자
경보설비,BS,유형자산,일반,투자
비상각자산,BS,유형자산,일반,투자
가설재-유형자산,BS,유형자산,일반,투자
기타유형자산,BS,유형자산,일반,투자
기타유형자산-금융리스,BS,유형자산,일반,투자
동물-감가상각누계액,BS,감가상각누계액,차감,주계정
식물-감가상각누계액,BS,감가상각누계액,차감,주계정
임차자산개량권-감가상각누계액,BS,감가상각누계액,차감,주계정
전산장비-감가상각누계액,BS,감가상각누계액,차감,주계정
전산장비-감가상각누계액-금융리스,BS,감가상각누계액,차감,주계정
경보기기-감가상각누계액,BS,감가상각누계액,차감,주계정
경보기기-감가상각누계액-금융리스,BS,감가상각누계액,차감,주계정
경보설비-감가상각누계액,BS,감가상각누계액,차감,주계정
경보설비-감가상각누계액-금융리스,BS,감가상각누계액,차감,주계정
기타유형자산-감가상각누계액,BS,감가상각누계액,차감,주계정
기타유형자산-감가상각누계액-금융리스,BS,감가상각누계액,차감,주계정
기타유형자산-손상차손누계액,BS,손상차손누계액,차감,주계정
건설중인자산-토지,BS,유형자산,일반,투자
건설중인자산-건물,BS,유형자산,일반,투자
건설중인자산-건물부속설비,BS,유형자산,일반,투자
건설중인자산-구축물,BS,유형자산,일반,투자
건설중인자산-기계장치,BS,유형자산,일반,투자
건설중인자산-기계장치-중장비,BS,유형자산,일반,투자
건설중인자산-금형,BS,유형자산,일반,투자
건설중인자산-선박,BS,유형자산,일반,투자
건설중인자산-항공기,BS,유형자산,일반,투자
건설중인자산-차량운반구,BS,유형자산,일반,투자
건설중인자산-공구기구,BS,유형자산,일반,투자
건설중인자산-비품가구,BS,유형자산,일반,투자
건설중인자산-기타유형자산,BS,유형자산,일반,투자
건설중인자산-공사제비,BS,유형자산,일반,투자
건설중인자산-차입원가,BS,유형자산,일반,투자
건설중인자산-무형자산,BS,유형자산,일반,투자
건설중인자산-손상차손누계액,BS,손상차손누계액,차감,주계정
미착자산-물대-Target,BS,재고자산,일반,영업
미착자산-관세-GR/IR,BS,재고자산,일반,영업
미착자산-관세-충당,BS,재고자산,일반,영업
미착자산-부대비-GR/IR,BS,재고자산,일반,영업
GR/IR-유형자산,BS,유형자산,일반,투자
GR/IR-유형자산-조정,BS,유형자산,일반,투자
유형자산-국고보조금,BS,국고보조금,차감,주계정
유형자산-공사부담금,BS,유형자산,일반,투자
입목,BS,유형자산,일반,투자
미착기계,BS,유형자산,일반,투자
중장비,BS,유형자산,일반,투자
중장비-감가상각누계액,BS,감가상각누계액,차감,주계정
중장비-손상차손누계액,BS,손상차손누계액,차감,주계정
건설가계정-유형자산,BS,유형자산,일반,투자
건설가계정-수선,BS,유형자산,일반,투자
건설가계정-특정차입금자본화,BS,유형자산,일반,투자
건설가계정-일반차입금자본화,BS,유형자산,일반,투자
건설가계정손상차손누계액,BS,손상차손누계액,차감,주계정
임차개량자산,BS,유형자산,일반,투자
임차개량자산감가상각누계액,BS,감가상각누계액,차감,주계정
임차개량자산손상차손누계액,BS,손상차손누계액,차감,주계정
탱크,BS,유형자산,일반,투자
탱크-감가상각누계액,BS,감가상각누계액,차감,주계정
임차시설물,BS,유형자산,일반,투자
임차시설물-감가상각누계액,BS,감가상각누계액,차감,주계정
감가상각누계액,BS,감가상각누계액,차감,주계정
손상차손누계액,BS,손상차손누계액,차감,주계정
투자부동산-토지,BS,투자부동산,일반,투자
투자부동산-건물,BS,투자부동산,일반,투자
투자부동산-감가상각누계액,BS,감가상각누계액,차감,주계정
투자부동산-손상차손누계액,BS,손상차손누계액,차감,주계정
투자부동산-부문간배부,BS,투자부동산,일반,투자
산업재산권,BS,무형자산,일반,투자
전용측선이용권,BS,무형자산,일반,투자
공업용수이용권,BS,무형자산,일반,투자
개발비,BS,무형자산,일반,투자
소프트웨어,BS,무형자산,일반,투자
임차권리금,BS,무형자산,일반,투자
회원권,BS,무형자산,일반,투자
기타의무형자산,BS,무형자산,일반,투자
영업권,BS,무형자산,일반,투자
부의영업권,BS,무형자산,일반,투자
국제공동사업권,BS,무형자산,일반,투자
특허권,BS,무형자산,일반,투자
실용신안권,BS,무형자산,일반,투자
의장권,BS,무형자산,일반,투자
상표권,BS,무형자산,일반,투자
판권,BS,무형자산,일반,투자
광업권,BS,무형자산,일반,투자
전기및가스시설이용권,BS,무형자산,일반,투자
전신전화전용시설이용권,BS,무형자산,일반,투자
공업용수도이용권,BS,무형자산,일반,투자
수도시설이용권,BS,무형자산,일반,투자
토지이용권,BS,무형자산,일반,투자
진입도로이용권,BS,무형자산,일반,투자
사용수익권,BS,무형자산,일반,투자
기타시설이용권,BS,무형자산,일반,투자
소프트웨어-외부구입,BS,무형자산,일반,투자
소프트웨어-내부개발,BS,무형자산,일반,투자
기타무형자산,BS,무형자산,일반,투자
무형자산-국고보조금,BS,국고보조금,차감,주계정
소프트웨어-국고보조금,BS,국고보조금,차감,주계정
개발비-국고보조금,BS,국고보조금,차감,주계정
무형자산-공사부담금,BS,무형자산,일반,투자
시설사용권,BS,무형자산,일반,투자
매입채무-재료,BS,매입채무,일반,영업
매입채무-상품,BS,매입채무,일반,영업
매입채무-외주가공,BS,매입채무,일반,영업
미확정매입채무,BS,매입채무,일반,영업
외상매입금-일반자재구입대,BS,매입채무,일반,영업
외상매입금-공사자재구입대,BS,매입채무,일반,영업
외상매입금-상품구입대,BS,매입채무,일반,영업
외상매입금-외주비,BS,매입채무,일반,영업
외상매입금-수입관세및부대비,BS,매입채무,일반,영업
외상매입금-GR/IR-구매송장미착,BS,매입채무,일반,영업
외상매입금-차감조정,BS,매입채무,일반,영업
외상매입금-조정,BS,매입채무,일반,영업
외상매입금-Service공사-에스원Only,BS,매입채무,일반,영업
대행미지급금-기획Only,BS,매입채무,일반,영업
외상매입금-반품,BS,매입채무,일반,영업
외상매입금-기타,BS,매입채무,일반,영업
외상매입금-현할차,BS,현재가치할인차금,차감,주계정
외상매입금-환율평가,BS,매입채무,일반,영업
지급어음-자재구입대,BS,매입채무,일반,영업
지급어음-공사자재구입대,BS,매입채무,일반,영업
지급어음-상품구입대,BS,매입채무,일반,영업
지급어음-외주비,BS,매입채무,일반,영업
지급어음-전자결제,BS,매입채무,일반,영업
지급어음-카드,BS,매입채무,일반,영업
지급어음-기타,BS,매입채무,일반,영업
지급어음-현할차,BS,현재가치할인차금,차감,주계정
지급어음-환율평가,BS,매입채무,일반,영업
유동성 장기매입채무,BS,매입채무,일반,영업
장기외상매입금-일반자재구입대,BS,매입채무,일반,영업
장기외상매입금-공사자재구입대,BS,매입채무,일반,영업
장기외상매입금-상품구입대,BS,매입채무,일반,영업
장기외상매입금-기타,BS,매입채무,일반,영업
장기외상매입금-현할차,BS,현재가치할인차금,차감,주계정
장기외상매입금-환율평가,BS,매입채무,일반,영업
장기지급어음-일반자재구입대,BS,매입채무,일반,영업
장기지급어음-공사자재구입대,BS,매입채무,일반,영업
장기지급어음-상품구입대,BS,매입채무,일반,영업
장기지급어음-기타,BS,매입채무,일반,영업
장기지급어음-현할차,BS,현재가치할인차금,차감,주계정
장기지급어음-환율평가,BS,매입채무,일반,영업
장기매입채무-유동성대체,BS,매입채무,일반,영업
수입외상매입금,BS,매입채무,일반,영업
단기차입금-원화,BS,차입금,일반,재무
단기차입금-외화,BS,차입금,일반,재무
단기차입금-수출환어음,BS,차입금,일반,재무
단기차입금-당좌차월,BS,차입금,일반,재무
단기차입금-일반대출,BS,차입금,일반,재무
단기차입금-신탁대출,BS,차입금,일반,재무
단기차입금-어음할인,BS,차입금,일반,재무
단기차입금-Pooling,BS,차입금,일반,재무
단기차입금-ABS,BS,차입금,일반,재무
단기차입금-AR매각-With Recourse,BS,차입금,일반,재무
단기차입금-Usance,BS,차입금,일반,재무
단기차입금-기타,BS,차입금,일반,재무
단기차입금-환율평가,BS,차입금,일반,재무
유동성 장기차입금,BS,차입금,일반,재무
단기차입금-부문간배부,BS,차입금,일반,재무
유동성사채,BS,차입금,일반,재무
단기차입금-관계사,BS,차입금,일반,재무
단기차입금-주임종,BS,차입금,일반,재무
단기차입금-시설,BS,차입금,일반,재무
미지급금-지급어음,BS,미지급금,중간,영업
미지급금-일반경비,BS,미지급금,중간,영업
미지급금-사원,BS,미지급금,중간,영업
미지급금-저장품,BS,미지급금,중간,영업
미지급금-시설,BS,미지급금,중간,영업
미지급금-신용카드,BS,미지급금,중간,영업
미지급금-급/상여,BS,미지급금,중간,영업
미지급금-환율조정,BS,미지급금,중간,영업
미지급금-자산구입,BS,미지급금,중간,영업
미지급금-기술사용료,BS,미지급금,중간,영업
미지급금-임가공비,BS,미지급금,중간,영업
미지급금-외주비,BS,미지급금,중간,영업
미지급금-경비,BS,미지급금,중간,영업
미지급금-Agency,BS,미지급금,중간,영업
미지급금-Claim,BS,미지급금,중간,영업
미지급금-GR/IR-송장미착,BS,미지급금,중간,영업
금융리스부채,BS,금융부채,일반,재무
미지급금-환불-에스원Only,BS,미지급금,중간,영업
미지급금-조정-에스원Only,BS,미지급금,중간,영업
미지급금-조정,BS,미지급금,중간,영업
미지급금-관세환급,BS,미지급금,중간,영업
미지급금-관세미지급,BS,미지급금,중간,영업
미지급금-통관수수료등수입제비용,BS,미지급금,중간,영업
미지급금-종업원신용카드,BS,미지급금,중간,영업
미지급금-법인신용카드,BS,미지급금,중간,영업
미지급금-종업원-기타,BS,미지급금,중간,영업
미지급금-국민연금,BS,미지급금,중간,영업
미지급금-건강보험,BS,미지급금,중간,영업
미지급금-개인연금,BS,미지급금,중간,영업
미지급금-산재보험,BS,미지급금,중간,영업
미지급금-고용보험,BS,미지급금,중간,영업
미지급금-부가가치세,BS,미지급금,중간,영업
미지급금-원천소득세,BS,미지급금,중간,영업
미지급금-원천지방소득세,BS,미지급금,중간,영업
미지급금-원천농특세,BS,미지급금,중간,영업
미지급금-사업소세,BS,미지급금,중간,영업
미지급금-재산세,BS,미지급금,중간,영업
미지급금-지방세,BS,미지급금,중간,영업
미지급금-소비세,BS,미지급금,중간,영업
미지급금-교육세,BS,미지급금,중간,영업
미지급금-거래직접세,BS,미지급금,중간,영업
미지급금-공회비-China Only,BS,미지급금,중간,영업
미지급금-문화사업건설비-China Only,BS,미지급금,중간,영업
미지급금-ISS-Brazil Only,BS,미지급금,중간,영업
미지급금-PIS-Brazil Only,BS,미지급금,중간,영업
미지급금-COFINS-Brazil Only,BS,미지급금,중간,영업
미지급금-기타제세,BS,미지급금,중간,영업
미지급금-국고보조금,BS,국고보조금,차감,주계정
미지급금-금융,BS,미지급금,중간,영업
미지급금-광고선전비,BS,미지급금,중간,영업
미지급금-배당금,BS,미지급금,중간,영업
미지급금-기타,BS,미지급금,중간,영업
미지급금-현할차,BS,현재가치할인차금,차감,주계정
미지급금-환율평가,BS,미지급금,중간,영업
어음미지급금-자산구입,BS,미지급금,중간,영업
어음미지급금-임가공비,BS,미지급금,중간,영업
어음미지급금-외주비,BS,미지급금,중간,영업
어음미지급금-경비,BS,미지급금,중간,영업
어음미지급금-기타,BS,미지급금,중간,영업
어음미지급금-현할차,BS,미지급금,중간,영업
어음미지급금-환율평가,BS,미지급금,중간,영업
유동성 장기미지급금,BS,미지급금,중간,영업
미지급금-배당금-부문간배부-코닝정밀소재Only,BS,미지급금,중간,영업
미지급금-부문간배부,BS,미지급금,중간,영업
장기미지급금-국고보조금,BS,국고보조금,차감,주계정
장기미지급금-기타,BS,미지급금,중간,영업
장기미지급금-현할차,BS,현재가치할인차금,차감,주계정
장기미지급금-환율평가,BS,미지급금,중간,영업
장기어음미지급금-자산구입,BS,미지급금,중간,영업
장기어음미지급금-기타,BS,미지급금,중간,영업
장기어음미지급금-현할차,BS,현재가치할인차금,차감,주계정
장기어음미지급금-환율평가,BS,미지급금,중간,영업
장기미지급금-유동성대체,BS,미지급금,중간,영업
장기미지급금-부분간배부,BS,미지급금,중간,영업
미지급법인세-법인세,BS,미지급비용,중간,영업
미지급법인세-주민세,BS,미지급비용,중간,영업
미지급법인세-농특세,BS,미지급비용,중간,영업
미지급법인세-기타,BS,미지급비용,중간,영업
미지급법인세-부문간배부,BS,미지급비용,중간,영업
선수금-영업,BS,선수금,중간,영업
선수금-상품권,BS,선수금,중간,영업
선수금-재고판매,BS,선수금,중간,영업
선수금-자재,BS,선수금,중간,영업
선수금-영업거래,BS,선수금,중간,영업
선수금-Service,BS,선수금,중간,영업
선수금-영업거래-기획Only,BS,선수금,중간,영업
선수금-진행기준-용역,BS,선수금,중간,영업
선수금-진행기준-용역-조정,BS,선수금,중간,영업
선수금-공사선수금,BS,선수금,중간,영업
선수금-공사선수금-조정,BS,선수금,중간,영업
선수금-분양선수금,BS,선수금,중간,영업
선수금-분양선수금-옵션-물산Only,BS,선수금,중간,영업
선수금-분양선수금-조정,BS,선수금,중간,영업
선수금-이용권-상품권,BS,선수금,중간,영업
선수금-이용권-회원권및연회비,BS,선수금,중간,영업
선수금-이용권-티켓,BS,선수금,중간,영업
선수금-이용권-기타,BS,선수금,중간,영업
선수금-임대매출,BS,선수금,중간,영업
선수금-선물환,BS,선수금,중간,영업
선수금-조정,BS,선수금,중간,영업
선수금-기타,BS,선수금,중간,영업
유동성 장기선수금,BS,선수금,중간,영업
선수금-부문간배부,BS,선수금,중간,영업
장기선수금-영업거래,BS,선수금,중간,영업
장기선수금-기타,BS,선수금,중간,영업
장기선수금-유동성대체,BS,선수금,중간,영업
장기선수금-부문간배부,BS,선수금,중간,영업
장기선수수익-예적금이자,BS,선수금,중간,영업
장기선수수익-유가증권이자,BS,선수금,중간,영업
장기선수수익-대여금이자,BS,선수금,중간,영업
장기선수수익-기타금융상품이자,BS,선수금,중간,영업
장기선수수익-임대료,BS,선수금,중간,영업
장기선수수익-수익이연,BS,선수금,중간,영업
장기선수수익-국고보조금,BS,국고보조금,차감,주계정
장기선수수익-기타,BS,선수금,중간,영업
장기선수수익-유동성대체,BS,선수금,중간,영업
선수금-임대료,BS,선수금,중간,영업
예수금-건강보험,BS,예수금,일반,영업
예수금-국민연금,BS,예수금,일반,영업
예수금-고용보험-근로자부담분,BS,예수금,일반,영업
예수금-고용보험-회사부담분,BS,예수금,일반,영업
예수금-근로소득세,BS,예수금,일반,영업
예수금-근로소득주민세,BS,예수금,일반,영업
예수금-퇴직소득세,BS,예수금,일반,영업
예수금-퇴직소득주민세,BS,예수금,일반,영업
예수금-사업소득세,BS,예수금,일반,영업
예수금-사업소득주민세,BS,예수금,일반,영업
예수금-기타소득세,BS,예수금,일반,영업
예수금-기타소득주민세,BS,예수금,일반,영업
예수금-채무가압류,BS,예수금,일반,영업
예수금-연말정산소득세,BS,예수금,일반,영업
예수금-연말정산주민세,BS,예수금,일반,영업
예수금-산재보험료,BS,예수금,일반,영업
예수금-급여가압류_미결관리,BS,예수금,일반,영업
예수금-주재수당,BS,예수금,일반,영업
예수금-교육미수료,BS,예수금,일반,영업
예수금-가수금미반제,BS,예수금,일반,영업
예수금-원천세-근로소득세,BS,예수금,일반,영업
예수금-원천세-사업소득세,BS,예수금,일반,영업
예수금-원천세-퇴직소득세,BS,예수금,일반,영업
예수금-원천세-이자소득세,BS,예수금,일반,영업
예수금-원천세-배당소득세,BS,예수금,일반,영업
예수금-원천세-기타소득세,BS,예수금,일반,영업
예수금-원천세-근로지방소득세,BS,예수금,일반,영업
예수금-원천세-사업지방소득세,BS,예수금,일반,영업
예수금-원천세-퇴직지방소득세,BS,예수금,일반,영업
예수금-원천세-이자지방소득세,BS,예수금,일반,영업
예수금-원천세-배당지방소득세,BS,예수금,일반,영업
예수금-원천세-기타지방소득세,BS,예수금,일반,영업
예수금-원천세-교육세,BS,예수금,일반,영업
예수금-원천세-농어촌특별세,BS,예수금,일반,영업
예수금-원천세-개별소비세,BS,예수금,일반,영업
예수금-원천세-용역,BS,예수금,일반,영업
예수금-원천세-IRRF-Brazil Only,BS,예수금,일반,영업
예수금-원천세-CIDE-Brazil Only,BS,예수금,일반,영업
예수금-원천세-기타,BS,예수금,일반,영업
예수금-급여일시공제-급여,BS,예수금,일반,영업
예수금-급여일시공제-퇴직금,BS,예수금,일반,영업
예수금-급여일시공제-재형저축,BS,예수금,일반,영업
예수금-급여일시공제-국민연금,BS,예수금,일반,영업
예수금-급여일시공제-건강보험,BS,예수금,일반,영업
예수금-급여일시공제-근로자장기저축,BS,예수금,일반,영업
예수금-급여일시공제-식대,BS,예수금,일반,영업
예수금-급여일시공제-개인연금,BS,예수금,일반,영업
예수금-급여일시공제-고용보험,BS,예수금,일반,영업
예수금-급여일시공제-기타,BS,예수금,일반,영업
예수금-국고보조금,BS,국고보조금,차감,주계정
예수금-압류,BS,예수금,일반,영업
예수금-국민체육진흥기금,BS,예수금,일반,영업
예수금-현금수송-에스원Only,BS,예수금,일반,영업
예수금-기타,BS,예수금,일반,영업
예수금-환율평가,BS,예수금,일반,영업
미지급비용-예정소급급여,BS,미지급비용,중간,영업
미지급비용-예정비정기상여,BS,미지급비용,중간,영업
미지급비용-지급이자,BS,미지급비용,중간,영업
미지급비용-공장예정원가,BS,미지급비용,중간,영업
미지급비용-예정성과상여,BS,미지급비용,중간,영업
미지급비용-예정유급휴가,BS,미지급비용,중간,영업
미지급비용-직장보육시설,BS,미지급비용,중간,영업
미지급비용-이자비용,BS,미지급비용,중간,영업
미지급비용-급여,BS,미지급비용,중간,영업
미지급비용-정기상여,BS,미지급비용,중간,영업
미지급비용-명절상여,BS,미지급비용,중간,영업
미지급비용-휴가상여,BS,미지급비용,중간,영업
미지급비용-PI상여,BS,미지급비용,중간,영업
미지급비용-PS상여,BS,미지급비용,중간,영업
미지급비용-기타상여,BS,미지급비용,중간,영업
미지급비용-확정기여퇴직급여,BS,미지급비용,중간,영업
미지급비용-복리후생비,BS,미지급비용,중간,영업
미지급비용-보험료,BS,미지급비용,중간,영업
미지급비용-물류비,BS,미지급비용,중간,영업
미지급비용-임차료,BS,미지급비용,중간,영업
미지급비용-지급수수료,BS,미지급비용,중간,영업
미지급비용-광고선전비,BS,미지급비용,중간,영업
미지급비용-판매촉진비,BS,미지급비용,중간,영업
미지급비용-판매장려금,BS,미지급비용,중간,영업
미지급비용-서비스비,BS,미지급비용,중간,영업
미지급비용-견본비,BS,미지급비용,중간,영업
미지급비용-기술사용료,BS,미지급비용,중간,영업
미지급비용-용역비,BS,미지급비용,중간,영업
미지급비용-Link이자-물산Only,BS,미지급비용,중간,영업
미지급비용-기타,BS,미지급비용,중간,영업
미지급비용-현할차,BS,현재가치할인차금,차감,주계정
미지급비용-환율평가,BS,미지급비용,중간,영업
유동성 장기미지급비용,BS,미지급비용,중간,영업
미지급비용-부문간배부,BS,미지급비용,중간,영업
장기미지급비용-이자,BS,미지급비용,중간,영업
장기미지급비용-급여,BS,미지급비용,중간,영업
장기미지급비용-상여금,BS,미지급비용,중간,영업
장기미지급비용-스탁옵션,BS,미지급비용,중간,영업
장기미지급비용-기타,BS,미지급비용,중간,영업
장기미지급비용-현할차,BS,현재가치할인차금,차감,주계정
장기미지급비용-환율평가,BS,미지급비용,중간,영업
장기미지급비용-유동성대체,BS,미지급비용,중간,영업
장기미지급비용-부문간배부,BS,미지급비용,중간,영업
미지급이자,BS,미지급비용,중간,영업
장기미지급이자,BS,미지급비용,중간,영업
반품충당부채,BS,충당부채,일반,영업
마일리지충당부채,BS,충당부채,일반,영업
반품추정부채,BS,충당부채,일반,영업
기타유동부채,BS,기타부채,일반,영업
유동성 예수보증금,BS,예수금,일반,영업
유동성 예수보증금-부문간배부,BS,예수금,일반,영업
가수금,BS,가수금,중간,영업
가수금-기타,BS,가수금,중간,영업
가수금-환율평가,BS,가수금,중간,영업
예수보증금-영업보증금,BS,예수금,일반,영업
예수보증금-임대보증금,BS,예수금,일반,영업
예수보증금-공사보증금,BS,예수금,일반,영업
예수보증금-하자보증금,BS,예수금,일반,영업
예수보증금-계약보증금,BS,예수금,일반,영업
예수보증금-사택보증금,BS,예수금,일반,영업
예수보증금-계약보증금-에스원Only,BS,예수금,일반,영업
예수보증금-기타,BS,예수금,일반,영업
예수보증금-현할차,BS,예수금,일반,영업
예수보증금-환율평가,BS,예수금,일반,영업
예수보증금-유동성대체,BS,예수금,일반,영업
환불부채,BS,기타부채,일반,영업
사채,BS,사채,일반,재무
사채-일반사채,BS,사채,일반,재무
사채-전환사채,BS,사채,일반,재무
사채-전환권조정,BS,사채조정,차감,주계정
사채-신주인수권부사채,BS,사채,일반,재무
사채-신주인수권조정,BS,사채조정,차감,주계정
사채-기타사채,BS,사채,일반,재무
사채-기타사채권조정,BS,사채조정,차감,주계정
사채-환율평가,BS,사채,일반,재무
사채발행차금-장기미지급이자,BS,사채,일반,재무
사채발행차금-할인,BS,발행차금,차감,주계정
사채발행차금-할증,BS,발행차금,차감,주계정
사채발행차금-상환할증금,BS,발행차금,차감,주계정
사채-유동성대체,BS,사채,일반,재무
사채-부문간배부,BS,사채,일반,재무
사채발행차금-비유동,BS,발행차금,차감,주계정
유동성원화사채,BS,사채,일반,재무
유동성외화사채,BS,사채,일반,재무
유동성전환사채,BS,사채,일반,재무
유동성전환권조정,BS,사채조정,차감,주계정
유동성신주인수권부사채,BS,사채,일반,재무
유동성사채할인발행차금,BS,발행차금,차감,주계정
유동성사채상환할증금,BS,발행차금,차감,주계정
유동성신주인수권조정,BS,사채조정,차감,주계정
신주인수권조정,BS,사채조정,차감,주계정
원화사채,BS,사채,일반,재무
외화사채,BS,사채,일반,재무
선수수익-임대수익,BS,선수수익,중간,영업
선수수익-국고보조금-국책사업연구비,BS,국고보조금,차감,주계정
선수수익-국고보조금-저리차입금,BS,국고보조금,차감,주계정
선수수익-예적금이자,BS,선수수익,중간,영업
선수수익-유가증권이자,BS,선수수익,중간,영업
선수수익-대여금이자,BS,선수수익,중간,영업
선수수익-기타금융상품이자,BS,선수수익,중간,영업
선수수익-임대료,BS,선수수익,중간,영업
선수수익-수익이연,BS,선수수익,중간,영업
선수수익-수익이연-기획Only,BS,선수수익,중간,영업
선수수익-국고보조금,BS,국고보조금,차감,주계정
선수수익-기타,BS,선수수익,중간,영업
유동성 장기선수수익,BS,선수수익,중간,영업
파생상품부채-유동-통화스왑,BS,금융부채,일반,재무
파생상품부채-유동-통화옵션,BS,금융부채,일반,재무
파생상품부채-유동-이자율스왑,BS,금융부채,일반,재무
파생상품부채-유동-상품선물,BS,금융부채,일반,재무
파생상품부채-유동-상품선도,BS,금융부채,일반,재무
파생상품부채-유동-기타,BS,금융부채,일반,재무
유동성 파생상품부채,BS,금융부채,일반,재무
파생상품부채-통화선도,BS,금융부채,일반,재무
파생상품부채-통화스왑,BS,금융부채,일반,재무
파생상품부채-통화옵션,BS,금융부채,일반,재무
파생상품부채-이자율스왑,BS,금융부채,일반,재무
파생상품부채-상품선물,BS,금융부채,일반,재무
파생상품부채-상품선도,BS,금융부채,일반,재무
파생상품부채-통화선도-중공업Only,BS,금융부채,일반,재무
파생상품부채-기타,BS,금융부채,일반,재무
보증금-임대보증금,BS,보증금,일반,영업
보증금-수입보증금,BS,보증금,일반,영업
보증금-사택임대보증금,BS,보증금,일반,영업
장기차입금-일반대출,BS,차입금,일반,재무
장기차입금-신탁대출,BS,차입금,일반,재무
장기차입금-연불수출,BS,차입금,일반,재무
장기차입금-시설자금,BS,차입금,일반,재무
장기차입금-금융리스,BS,차입금,일반,재무
장기차입금-기타,BS,차입금,일반,재무
장기차입금-현할차,BS,현재가치할인차금,차감,주계정
장기차입금-환율평가,BS,차입금,일반,재무
장기차입금-유동성대체,BS,차입금,일반,재무
장기차입금-부문간배부,BS,차입금,일반,재무
장기차입금-외화,BS,차입금,일반,재무
장기차입금-관계사,BS,차입금,일반,재무
확정급여채무,BS,급여성부채,일반,영업
사외적립자산-퇴직보험,BS,급여성부채,일반,영업
사외적립자산-퇴직연금,BS,급여성부채,일반,영업
퇴직급여부채,BS,급여성부채,일반,영업
사외적립자산-단체퇴직보험예치금,BS,급여성부채,일반,영업
사외적립자산-국민연금전환금,BS,급여성부채,일반,영업
사외적립자산-퇴직보험예치금,BS,급여성부채,일반,영업
사외적립자산-퇴직연금운용자산,BS,급여성부채,일반,영업
사외적립자산-기타,BS,급여성부채,일반,영업
제품보증충당부채,BS,충당부채,일반,영업
공사손실충당부채,BS,충당부채,일반,영업
하자보수충당부채,BS,충당부채,일반,영업
상여충당부채,BS,충당부채,일반,영업
복구충당부채,BS,충당부채,일반,영업
우발손실충당부채,BS,충당부채,일반,영업
장기선수수익,BS,선수수익,중간,영업
기타장기종업원급여부채,BS,급여성부채,일반,영업
장기보증금,BS,보증금,일반,영업
장기금융보증부채,BS,금융부채,일반,재무
우선주자본금,BS,자본금,일반,재무
자본금-보통주,BS,자본금,일반,재무
자본금-우선주,BS,자본금,일반,재무
자본금-신주납입금,BS,자본금,일반,재무
자본금-기타,BS,자본금,일반,재무
주식발행초과금,BS,자본잉여금,일반,재무
자본준비금-주식발행초과금,BS,자본잉여금,일반,재무
자본준비금-감자차익,BS,자본잉여금,일반,재무
자본준비금-합병차익,BS,자본잉여금,일반,재무
자본준비금-자기주식처분이익,BS,자본잉여금,일반,재무
기타자본잉여금-자산수증이익,BS,자본잉여금,일반,재무
기타자본잉여금-채무면제이익,BS,자본잉여금,일반,재무
기타자본잉여금-재평가적립금,BS,자본잉여금,일반,재무
기타자본잉여금-주식매수선택권,BS,자본잉여금,일반,재무
기타자본잉여금-전환권대가,BS,자본잉여금,일반,재무
기타자본잉여금-신주인수권대가,BS,자본잉여금,일반,재무
기타자본잉여금-신주청약증거금,BS,자본잉여금,일반,재무
기타자본잉여금-지분법변동,BS,자본잉여금,일반,재무
기타자본잉여금-부의지분법변동,BS,자본잉여금,일반,재무
기타자본잉여금-기타,BS,자본잉여금,일반,재무
기타적립금,BS,이익잉여금,일반,재무
이익준비금,BS,이익잉여금,일반,재무
전기이월이익잉여금,BS,이익잉여금,일반,재무
보험수리적손익,BS,이익잉여금,일반,재무
당기순이익,BS,이익잉여금,일반,재무
법정적립금-재무구조개선적립금,BS,이익잉여금,일반,재무
법정적립금-연구및인력개발준비금,BS,이익잉여금,일반,재무
법정적립금-해외시장개척준비금,BS,이익잉여금,일반,재무
법정적립금-해외투자손실준비금,BS,이익잉여금,일반,재무
법정적립금-자기주식처분손실준비금,BS,이익잉여금,일반,재무
법정적립금-기업발전적립금,BS,이익잉여금,일반,재무
법정적립금-기타법정적립금,BS,이익잉여금,일반,재무
임의적립금-사업확장적립금,BS,이익잉여금,일반,재무
임의적립금-시설적립금,BS,이익잉여금,일반,재무
임의적립금-연구및인력개발준비금,BS,이익잉여금,일반,재무
임의적립금-기타,BS,이익잉여금,일반,재무
차기이월이익잉여금-전기이월이익잉여금,BS,이익잉여금,일반,재무
차기이월이익잉여금-당기순이익,BS,이익잉여금,일반,재무
차기이월이익잉여금-비지배지분초과손실,BS,이익잉여금,일반,재무
차기이월이익잉여금-전기오류수정이익,BS,이익잉여금,일반,재무
차기이월이익잉여금-전기오류수정손실,BS,이익잉여금,일반,재무
차기이월이익잉여금-회계변경누적효과,BS,이익잉여금,일반,재무
차기이월이익잉여금-지분법이익잉여금변동,BS,이익잉여금,일반,재무
차기이월이익잉여금-부의지분법이익잉여금변동,BS,이익잉여금,일반,재무
이익잉여금-기타,BS,이익잉여금,일반,재무
매도가능증권평가이익,BS,기타포괄손익누계액,일반,재무
