"id","bspl","cashamount","coalevel","coaname","materiality","quality1","quality2","quality3","quality4","quality5","quality6","realcoaname","process","currentgrade","person_charge"
225,손익,45508101,,SMP매출,"",0,0,0,0,0,0,자본조정,재무보고,,
226,손익,7856005.0,,지급수수료(판),"",0,0,0,0,0,0,지급수수료,구매,,
227,부채,590751.0,,미지급금,"",0,0,0,0,0,0,미지급금,구매,,
228,자산,0.0,,미수금,"",0,0,0,0,0,0,미수금,자금,,
229,부채,10.0,,선납세금,"",0,0,0,0,0,0,기타유동자산,재무보고,,
230,부채,0.0,,부가세대급금,"",0,0,0,0,0,0,기타유동자산,재무보고,,
231,손익,0.0,,통신비(판),"",0,0,0,0,0,0,통신비,구매,,
232,자산,14540086,,보통예금,"",0,0,0,0,0,0,현금및현금성자산,자금,,
233,손익,591.0,,잡손실,"",0,0,0,0,0,0,기타영업외손익,재무보고,,
234,자산,0.0,,부가세예수금,"",0,0,0,0,0,0,기타유동자산,재무보고,,
235,자산,3431290.0,,예수금,"",0,0,0,0,0,0,현금및현금성자산,자금,,
236,손익,30123.0,,잡이익,"",0,0,0,0,0,0,기타영업외손익,재무보고,,
237,손익,0.0,,전력비(판),"",0,0,0,0,0,0,접대비,구매,,
238,자산,0.0,,선급금,"",0,0,0,0,0,0,재고자산,재고,,
239,손익,29766666,,이자비용,"",0,0,0,0,0,0,기타영업외금융손익,재무보고,,
240,부채,918864.0,,미지급세금,"",0,0,0,0,0,0,미지급금,구매,,
241,손익,0.0,,세금과공과금(판),"",0,0,0,0,0,0,세금과공과,재무보고,,
242,손익,34778.0,,이자수익,"",0,0,0,0,0,0,기타영업외금융손익,재무보고,,
243,손익,25197747,,전력매출원가,"",0,0,0,0,0,0,제품매출,매출,,
244,손익,0.0,,보험료(판),"",0,0,0,0,0,0,보험료,구매,,
245,손익,0.0,,지급임차료(판),"",0,0,0,0,0,0,지급임차료,재무보고,,
246,손익,0.0,,전기오류수정이익,"",0,0,0,0,0,0,기타영업외손익,재무보고,,
247,손익,44837626,,감가상각비(판),"",0,0,0,0,0,0,감가상각비,고정자산,,
248,자산,44837626,,감가상각누계액,"",0,0,0,0,0,0,유형자산,고정자산,,
249,자산,5064770.0,,선급비용,"",0,0,0,0,0,0,선급비용,재무보고,,
