"id","process","process_detail","realcoa"
19,매출,,매출채권
20,매출,,매출
21,구매,,판관비
22,구매,,미지급금
23,재무보고,,기타영업외손익
24,재무보고,,미수금
25,재고,,재고자산
26,재무보고,,미지급비용
27,자금,,기타영업외금융손익
28,자금,,현금및현금성자산
29,재무보고,,예수금
30,재무보고,,선급금
31,재고,,매출원가
32,구매,,지급임차료
33,재무보고,,감가상각비
34,고정자산,,투자부동산
35,재무보고,,선급비용
