"superpro_id","subpro_id","id"
2,1,1
4,3,2
5,4,3
7,6,4
9,8,5
11,10,6
15,14,7
1073,1072,
1075,1074,
1076,1075,
1078,1077,
1080,1079,
1082,1081,
1086,1085,
